"Commit","CommitHash","Date","Author","Subject","Area","File","Added","Deleted"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/BossFightController.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/CardSlamFeedback.cs","4","4"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/ConspiracyBoardUI.cs","10","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/CorpOSWindowManager.cs","10","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/DeskEntropyRenderer.cs","4","4"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/DraggableClientPortrait.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/FeedbackBudget.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/FugueInputRandomizer.cs","3","3"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/HRPopupSpammer.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/InternalAuditHubBootstrap.cs","2","2"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/MainMenuController.cs","1","1"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/PneumaticTube.cs","1","1"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/PneumaticTube.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/RAMOverloadMeter.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/RetirementLoungePanel.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/RunSummaryPanel.cs","10","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/RunawayLogoutButton.cs.meta","11","0"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/StaplerTool.cs.meta","11","0"
